Códigos de gasto con cantidad física;Cantidades medias consumidas;Periodo;Total
01.1.4.5 T Queso (K);Cantidad consumida media por hogar;2013;18,3
01.1.4.5 T Queso (K);Cantidad consumida media por hogar;2012;18,2
01.1.4.5 T Queso (K);Cantidad consumida media por hogar;2011;18,6
01.1.4.5 T Queso (K);Cantidad consumida media por hogar;2010;18,2
01.1.4.5 T Queso (K);Cantidad consumida media por hogar;2009;18,9
01.1.4.5 T Queso (K);Cantidad consumida media por hogar;2008;18,5
01.1.4.5 T Queso (K);Cantidad consumida media por hogar;2007;18
01.1.4.5 T Queso (K);Cantidad consumida media por hogar;2006;17,2
01.1.4.5 T Queso (K);Cantidad consumida media por persona;2023;8,2
01.1.4.5 T Queso (K);Cantidad consumida media por persona;2022;7,7
01.1.4.5 T Queso (K);Cantidad consumida media por persona;2021;7,2
01.1.4.5 T Queso (K);Cantidad consumida media por persona;2020;6,8
01.1.4.5 T Queso (K);Cantidad consumida media por persona;2019;6,5
01.1.4.5 T Queso (K);Cantidad consumida media por persona;2018;6,3
01.1.4.5 T Queso (K);Cantidad consumida media por persona;2017;6,5
01.1.4.5 T Queso (K);Cantidad consumida media por persona;2016;6,3
01.1.4.5 T Queso (K);Cantidad consumida media por persona;2015;7,1
01.1.4.5 T Queso (K);Cantidad consumida media por persona;2014;7
01.1.4.5 T Queso (K);Cantidad consumida media por persona;2013;7,2
01.1.4.5 T Queso (K);Cantidad consumida media por persona;2012;7,1
01.1.4.5 T Queso (K);Cantidad consumida media por persona;2011;7,2
01.1.4.5 T Queso (K);Cantidad consumida media por persona;2010;7
01.1.4.5 T Queso (K);Cantidad consumida media por persona;2009;7,2
01.1.4.5 T Queso (K);Cantidad consumida media por persona;2008;6,9
01.1.4.5 T Queso (K);Cantidad consumida media por persona;2007;6,7
01.1.4.5 T Queso (K);Cantidad consumida media por persona;2006;6,3
01.1.4.5 T Queso (K);Cantidad consumida media por unidad de consumo;2023;12,1
01.1.4.5 T Queso (K);Cantidad consumida media por unidad de consumo;2022;11,4
01.1.4.5 T Queso (K);Cantidad consumida media por unidad de consumo;2021;10,6
01.1.4.5 T Queso (K);Cantidad consumida media por unidad de consumo;2020;10,1
01.1.4.5 T Queso (K);Cantidad consumida media por unidad de consumo;2019;9,6
01.1.4.5 T Queso (K);Cantidad consumida media por unidad de consumo;2018;9,4
01.1.4.5 T Queso (K);Cantidad consumida media por unidad de consumo;2017;9,6
01.1.4.5 T Queso (K);Cantidad consumida media por unidad de consumo;2016;9,4
01.1.4.5 T Queso (K);Cantidad consumida media por unidad de consumo;2015;10,5
01.1.4.5 T Queso (K);Cantidad consumida media por unidad de consumo;2014;10,4
01.1.4.5 T Queso (K);Cantidad consumida media por unidad de consumo;2013;10,8
01.1.4.5 T Queso (K);Cantidad consumida media por unidad de consumo;2012;10,7
01.1.4.5 T Queso (K);Cantidad consumida media por unidad de consumo;2011;10,8
01.1.4.5 T Queso (K);Cantidad consumida media por unidad de consumo;2010;10,5
01.1.4.5 T Queso (K);Cantidad consumida media por unidad de consumo;2009;10,8
01.1.4.5 T Queso (K);Cantidad consumida media por unidad de consumo;2008;10,5
01.1.4.5 T Queso (K);Cantidad consumida media por unidad de consumo;2007;10,1
01.1.4.5 T Queso (K);Cantidad consumida media por unidad de consumo;2006;9,6
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida total (miles de unidades);2023;393.050
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida total (miles de unidades);2022;356.754
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida total (miles de unidades);2021;312.401
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida total (miles de unidades);2020;307.626
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida total (miles de unidades);2019;297.773
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida total (miles de unidades);2018;315.194
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida total (miles de unidades);2017;333.342
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida total (miles de unidades);2016;338.432
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida total (miles de unidades);2015;459.696
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida total (miles de unidades);2014;447.294
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida total (miles de unidades);2013;442.623
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida total (miles de unidades);2012;437.993
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida total (miles de unidades);2011;426.960
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida total (miles de unidades);2010;432.609
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida total (miles de unidades);2009;430.945
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida total (miles de unidades);2008;378.785
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida total (miles de unidades);2007;348.189
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida total (miles de unidades);2006;321.739
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por hogar;2023;20,4
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por hogar;2022;18,7
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por hogar;2021;16,6
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por hogar;2020;16,3
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por hogar;2019;15,9
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por hogar;2018;16,9
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por hogar;2017;18
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por hogar;2016;18,3
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por hogar;2015;25
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por hogar;2014;24,4
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por hogar;2013;24,3
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por hogar;2012;24,2
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por hogar;2011;23,9
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por hogar;2010;24,5
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por hogar;2009;24,8
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por hogar;2008;22,2
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por hogar;2007;20,9
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por hogar;2006;19,9
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por persona;2023;8,2
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por persona;2022;7,6
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por persona;2021;6,7
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por persona;2020;6,6
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por persona;2019;6,4
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por persona;2018;6,8
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por persona;2017;7,2
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por persona;2016;7,4
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por persona;2015;10
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por persona;2014;9,7
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por persona;2013;9,6
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por persona;2012;9,5
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por persona;2011;9,2
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por persona;2010;9,4
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por persona;2009;9,4
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por persona;2008;8,3
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por persona;2007;7,8
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por persona;2006;7,3
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por unidad de consumo;2023;12,1
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por unidad de consumo;2022;11,2
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por unidad de consumo;2021;9,9
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por unidad de consumo;2020;9,7
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por unidad de consumo;2019;9,5
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por unidad de consumo;2018;10,1
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por unidad de consumo;2017;10,7
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por unidad de consumo;2016;10,9
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por unidad de consumo;2015;14,9
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por unidad de consumo;2014;14,5
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por unidad de consumo;2013;14,3
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por unidad de consumo;2012;14,2
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por unidad de consumo;2011;13,8
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por unidad de consumo;2010;14,1
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por unidad de consumo;2009;14,2
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por unidad de consumo;2008;12,6
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por unidad de consumo;2007;11,8
01.1.4.6 T Otros productos a base de leche (K);Cantidad consumida media por unidad de consumo;2006;11,1
01.1.4.7 T Huevos (U);Cantidad consumida total (miles de unidades);2023;7.201.026
01.1.4.7 T Huevos (U);Cantidad consumida total (miles de unidades);2022;6.557.320
01.1.4.7 T Huevos (U);Cantidad consumida total (miles de unidades);2021;6.575.535
01.1.4.7 T Huevos (U);Cantidad consumida total (miles de unidades);2020;6.258.597
01.1.4.7 T Huevos (U);Cantidad consumida total (miles de unidades);2019;5.848.928
01.1.4.7 T Huevos (U);Cantidad consumida total (miles de unidades);2018;5.857.495
01.1.4.7 T Huevos (U);Cantidad consumida total (miles de unidades);2017;5.872.354
01.1.4.7 T Huevos (U);Cantidad consumida total (miles de unidades);2016;5.847.542
01.1.4.7 T Huevos (U);Cantidad consumida total (miles de unidades);2015;6.208.812
01.1.4.7 T Huevos (U);Cantidad consumida total (miles de unidades);2014;6.158.979
01.1.4.7 T Huevos (U);Cantidad consumida total (miles de unidades);2013;6.283.836
01.1.4.7 T Huevos (U);Cantidad consumida total (miles de unidades);2012;6.371.474
01.1.4.7 T Huevos (U);Cantidad consumida total (miles de unidades);2011;6.022.975
01.1.4.7 T Huevos (U);Cantidad consumida total (miles de unidades);2010;5.902.613
01.1.4.7 T Huevos (U);Cantidad consumida total (miles de unidades);2009;5.961.134
01.1.4.7 T Huevos (U);Cantidad consumida total (miles de unidades);2008;5.782.764
01.1.4.7 T Huevos (U);Cantidad consumida total (miles de unidades);2007;5.608.777
01.1.4.7 T Huevos (U);Cantidad consumida total (miles de unidades);2006;5.185.633
01.1.4.7 T Huevos (U);Cantidad consumida media por hogar;2023;372,9
01.1.4.7 T Huevos (U);Cantidad consumida media por hogar;2022;344,5
01.1.4.7 T Huevos (U);Cantidad consumida media por hogar;2021;348,5
01.1.4.7 T Huevos (U);Cantidad consumida media por hogar;2020;332,1
01.1.4.7 T Huevos (U);Cantidad consumida media por hogar;2019;312,1
01.1.4.7 T Huevos (U);Cantidad consumida media por hogar;2018;314,5
01.1.4.7 T Huevos (U);Cantidad consumida media por hogar;2017;317,2
01.1.4.7 T Huevos (U);Cantidad consumida media por hogar;2016;317
01.1.4.7 T Huevos (U);Cantidad consumida media por hogar;2015;337,9
01.1.4.7 T Huevos (U);Cantidad consumida media por hogar;2014;336,5
01.1.4.7 T Huevos (U);Cantidad consumida media por hogar;2013;345
01.1.4.7 T Huevos (U);Cantidad consumida media por hogar;2012;352,2
01.1.4.7 T Huevos (U);Cantidad consumida media por hogar;2011;336,5
01.1.4.7 T Huevos (U);Cantidad consumida media por hogar;2010;334,5
01.1.4.7 T Huevos (U);Cantidad consumida media por hogar;2009;342,9
01.1.4.7 T Huevos (U);Cantidad consumida media por hogar;2008;338,8
01.1.4.7 T Huevos (U);Cantidad consumida media por hogar;2007;337
01.1.4.7 T Huevos (U);Cantidad consumida media por hogar;2006;320,5
01.1.4.7 T Huevos (U);Cantidad consumida media por persona;2023;150
01.1.4.7 T Huevos (U);Cantidad consumida media por persona;2022;139,5
01.1.4.7 T Huevos (U);Cantidad consumida media por persona;2021;140,4
01.1.4.7 T Huevos (U);Cantidad consumida media por persona;2020;133,5
01.1.4.7 T Huevos (U);Cantidad consumida media por persona;2019;125,4
01.1.4.7 T Huevos (U);Cantidad consumida media por persona;2018;126,5
01.1.4.7 T Huevos (U);Cantidad consumida media por persona;2017;127,4
01.1.4.7 T Huevos (U);Cantidad consumida media por persona;2016;127,2
01.1.4.7 T Huevos (U);Cantidad consumida media por persona;2015;135,1
01.1.4.7 T Huevos (U);Cantidad consumida media por persona;2014;133,9
01.1.4.7 T Huevos (U);Cantidad consumida media por persona;2013;136,2
01.1.4.7 T Huevos (U);Cantidad consumida media por persona;2012;137,5
01.1.4.7 T Huevos (U);Cantidad consumida media por persona;2011;130,1
01.1.4.7 T Huevos (U);Cantidad consumida media por persona;2010;127,9
01.1.4.7 T Huevos (U);Cantidad consumida media por persona;2009;129,7
01.1.4.7 T Huevos (U);Cantidad consumida media por persona;2008;126,8
01.1.4.7 T Huevos (U);Cantidad consumida media por persona;2007;125
01.1.4.7 T Huevos (U);Cantidad consumida media por persona;2006;117,8
01.1.4.7 T Huevos (U);Cantidad consumida media por unidad de consumo;2023;221,3
01.1.4.7 T Huevos (U);Cantidad consumida media por unidad de consumo;2022;205,7
01.1.4.7 T Huevos (U);Cantidad consumida media por unidad de consumo;2021;207,5
01.1.4.7 T Huevos (U);Cantidad consumida media por unidad de consumo;2020;197,6
01.1.4.7 T Huevos (U);Cantidad consumida media por unidad de consumo;2019;185,8
01.1.4.7 T Huevos (U);Cantidad consumida media por unidad de consumo;2018;187,5
01.1.4.7 T Huevos (U);Cantidad consumida media por unidad de consumo;2017;189,1
01.1.4.7 T Huevos (U);Cantidad consumida media por unidad de consumo;2016;188,9
01.1.4.7 T Huevos (U);Cantidad consumida media por unidad de consumo;2015;200,8
01.1.4.7 T Huevos (U);Cantidad consumida media por unidad de consumo;2014;199,4
01.1.4.7 T Huevos (U);Cantidad consumida media por unidad de consumo;2013;203,3
01.1.4.7 T Huevos (U);Cantidad consumida media por unidad de consumo;2012;206
01.1.4.7 T Huevos (U);Cantidad consumida media por unidad de consumo;2011;195,4
01.1.4.7 T Huevos (U);Cantidad consumida media por unidad de consumo;2010;192,6
01.1.4.7 T Huevos (U);Cantidad consumida media por unidad de consumo;2009;195,8
01.1.4.7 T Huevos (U);Cantidad consumida media por unidad de consumo;2008;192
01.1.4.7 T Huevos (U);Cantidad consumida media por unidad de consumo;2007;189,6
01.1.4.7 T Huevos (U);Cantidad consumida media por unidad de consumo;2006;179,1
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida total (miles de unidades);2023;25.242
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida total (miles de unidades);2022;22.498
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida total (miles de unidades);2021;20.722
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida total (miles de unidades);2020;23.450
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida total (miles de unidades);2019;19.706
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida total (miles de unidades);2018;20.041
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida total (miles de unidades);2017;18.655
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida total (miles de unidades);2016;17.638
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida total (miles de unidades);2015;18.859
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida total (miles de unidades);2014;19.044
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida total (miles de unidades);2013;19.347
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida total (miles de unidades);2012;19.109
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida total (miles de unidades);2011;18.238
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida total (miles de unidades);2010;17.961
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida total (miles de unidades);2009;18.657
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida total (miles de unidades);2008;17.748
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida total (miles de unidades);2007;16.664
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida total (miles de unidades);2006;13.935
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por hogar;2023;1,3
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por hogar;2022;1,2
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por hogar;2021;1,1
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por hogar;2020;1,2
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por hogar;2019;1,1
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por hogar;2018;1,1
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por hogar;2017;1
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por hogar;2016;1
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por hogar;2015;1
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por hogar;2014;1
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por hogar;2013;1,1
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por hogar;2012;1,1
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por hogar;2011;1
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por hogar;2010;1
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por hogar;2009;1,1
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por hogar;2008;1
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por hogar;2007;1
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por hogar;2006;0,9
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por persona;2023;0,5
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por persona;2022;0,5
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por persona;2021;0,4
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por persona;2020;0,5
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por persona;2019;0,4
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por persona;2018;0,4
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por persona;2017;0,4
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por persona;2016;0,4
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por persona;2015;0,4
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por persona;2014;0,4
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por persona;2013;0,4
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por persona;2012;0,4
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por persona;2011;0,4
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por persona;2010;0,4
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por persona;2009;0,4
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por persona;2008;0,4
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por persona;2007;0,4
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por persona;2006;0,3
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por unidad de consumo;2023;0,8
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por unidad de consumo;2022;0,7
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por unidad de consumo;2021;0,7
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por unidad de consumo;2020;0,7
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por unidad de consumo;2019;0,6
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por unidad de consumo;2018;0,6
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por unidad de consumo;2017;0,6
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por unidad de consumo;2016;0,6
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por unidad de consumo;2015;0,6
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por unidad de consumo;2014;0,6
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por unidad de consumo;2013;0,6
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por unidad de consumo;2012;0,6
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por unidad de consumo;2011;0,6
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por unidad de consumo;2010;0,6
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por unidad de consumo;2009;0,6
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por unidad de consumo;2008;0,6
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por unidad de consumo;2007;0,6
01.1.5.1 T Mantequilla y otras grasas animales (K);Cantidad consumida media por unidad de consumo;2006;0,5
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida total (miles de unidades);2023;31.038
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida total (miles de unidades);2022;27.581
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida total (miles de unidades);2021;21.400
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida total (miles de unidades);2020;24.095
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida total (miles de unidades);2019;25.645
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida total (miles de unidades);2018;24.859
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida total (miles de unidades);2017;23.741
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida total (miles de unidades);2016;27.260
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida total (miles de unidades);2015;31.904
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida total (miles de unidades);2014;32.032
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida total (miles de unidades);2013;31.899
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida total (miles de unidades);2012;32.404
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida total (miles de unidades);2011;30.443
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida total (miles de unidades);2010;35.313
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida total (miles de unidades);2009;34.295
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida total (miles de unidades);2008;33.543
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida total (miles de unidades);2007;30.096
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida total (miles de unidades);2006;26.200
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida media por hogar;2023;1,6
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida media por hogar;2022;1,4
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida media por hogar;2021;1,1
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida media por hogar;2020;1,3
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida media por hogar;2019;1,4
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida media por hogar;2018;1,3
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida media por hogar;2017;1,3
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida media por hogar;2016;1,5
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida media por hogar;2015;1,7
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida media por hogar;2014;1,8
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida media por hogar;2013;1,8
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida media por hogar;2012;1,8
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida media por hogar;2011;1,7
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida media por hogar;2010;2
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida media por hogar;2009;2
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida media por hogar;2008;2
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida media por hogar;2007;1,8
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida media por hogar;2006;1,6
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida media por persona;2023;0,6
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida media por persona;2022;0,6
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida media por persona;2021;0,5
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida media por persona;2020;0,5
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida media por persona;2019;0,5
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida media por persona;2018;0,5
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida media por persona;2017;0,5
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida media por persona;2016;0,6
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida media por persona;2015;0,7
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida media por persona;2014;0,7
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida media por persona;2013;0,7
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida media por persona;2012;0,7
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida media por persona;2011;0,7
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida media por persona;2010;0,8
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida media por persona;2009;0,7
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida media por persona;2008;0,7
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida media por persona;2007;0,7
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida media por persona;2006;0,6
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida media por unidad de consumo;2023;1
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida media por unidad de consumo;2022;0,9
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida media por unidad de consumo;2021;0,7
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida media por unidad de consumo;2020;0,8
01.1.5.2 T Margarina y otras grasas vegetales (K);Cantidad consumida media por unidad de consumo;2019;0,8
